Country,2018
Estonia,0
Iceland,0
Ireland,0
Poland,1.3
Denmark,1.6
New Zealand,1.7
Norway,1.8
Spain,1.9
Netherlands,3
Germany,3.2
Italy,3.5
Slovak Republic,3.5
Japan,3.6
Israel,3.8
Belgium,4.1
Finland,4.2
Sweden,4.3
Switzerland,4.6
Australia,4.8
Slovenia,5
United Kingdom,6.5
Czech Republic,7
Austria,7.1
Canada,8.6
France,8.7
Hungary,10
Korea,11.3
Greece,11.3
Chile,13.1
Turkey,13.6
Lithuania,14.2
Latvia,15.7
Portugal,17.2
United States,17.4
Luxembourg,32.4
Mexico,34.6